#        Clock      Arrival Time(s)  BS Number
---     --------    ---------------   -------
1	12:00:00	000.616		6
2	12:00:01	001.148		20
3	12:00:02	002.336		8
4	12:00:02	002.690		13
5	12:00:02	002.968		13
6	12:00:06	006.805		1
7	12:00:09	009.899		5
8	12:00:11	011.127		4
9	12:00:11	011.703		9
10	12:00:11	011.757		5
11	12:00:12	012.270		18
12	12:00:17	017.120		16
13	12:00:18	018.354		13
14	12:00:19	019.217		4
15	12:00:22	022.336		11
16	12:00:22	022.798		11
17	12:00:23	023.999		14
18	12:00:25	025.290		19
19	12:00:25	025.655		9
20	12:00:27	027.052		5
21	12:00:31	031.710		2
22	12:00:32	032.690		18
23	12:00:38	038.360		6
24	12:00:38	038.763		19
25	12:00:39	039.316		4
26	12:00:40	040.680		18
27	12:00:46	046.130		14
28	12:00:48	048.732		19
29	12:00:50	050.426		20
30	12:00:51	051.768		17
31	12:00:54	054.539		11
32	12:00:55	055.976		14
33	12:00:56	056.889		8
34	12:00:59	059.081		6
35	12:01:03	063.614		4
36	12:01:03	063.861		4
37	12:01:05	065.936		8
38	12:01:07	067.822		14
39	12:01:09	069.824		8
40	12:01:11	071.816		13
41	12:01:14	074.250		20
42	12:01:15	075.600		5
43	12:01:18	078.246		2
44	12:01:19	079.873		2
45	12:01:20	080.956		10
46	12:01:22	082.542		14
47	12:01:23	083.240		18
48	12:01:24	084.823		16
49	12:01:26	086.461		3
50	12:01:26	086.804		18
51	12:01:29	089.053		14
52	12:01:31	091.325		12
53	12:01:32	092.912		14
54	12:01:32	092.975		11
55	12:01:41	101.586		13
56	12:01:42	102.272		11
57	12:01:43	103.441		20
58	12:01:44	104.888		20
59	12:01:46	106.517		7
60	12:02:00	120.210		3
61	12:02:00	120.834		10
62	12:02:01	121.354		16
63	12:02:01	121.372		15
64	12:02:02	122.224		15
65	12:02:03	123.870		8
66	12:02:10	130.679		13
67	12:02:16	136.073		3
68	12:02:16	136.076		18
69	12:02:16	136.410		13
70	12:02:24	144.561		14
71	12:02:24	144.657		2
72	12:02:25	145.263		15
73	12:02:25	145.716		14
74	12:02:26	146.958		5
75	12:02:29	149.694		3
